player_id,player_id_fpl,player_name,web_name,Team,team_id,Position,Games,Minutes,Goals,Expected Goals,Assists,Expected Assists,Shots,Key Passes,Non-Penalty Goals,Expected Goals (Non-Penalty),Expected Goals (Chain),Expected Goals (Build-Up),Expected Points (Next GW),Expected Points (This GW),Event Points,Form,Cost,PPG,Selected By (%),Total Points,Value (Form),Value (Season),Clean Sheets,Yellow Cards,Red Cards,Saves,Bonus,BPS,Influence,Creativity,Threat,ICT Index
782,307,Ben Chilwell,Tuanzebe,Chelsea,13,2,6,23,0,0.9634217619895935,0,0.5391880609095097,6,11,2,0.9634217619895935,2.0231092274188995,1.5699789710342884,0.7,0.7,0,0.2,44,1.0,0.1,1,0.0,0.2,0,0,0,0,0,2,7.0,0.3,0.0,0.7
1024,41,Tyrone Mings,Mings,Aston Villa,2,2,8,720,2,1.3623488508164883,1,0.06867159157991409,7,2,2,1.3623488508164883,1.491055577993393,1.4746361672878265,3.2,3.2,0,3.2,53,5.4,13.3,43,0.6,8.1,4,2,0,0,3,175,221.6,27.1,119.0,37.0
1653,156,Michael Keane,Keane,Everton,7,2,9,810,2,1.1978994309902191,0,0.13641569390892982,4,2,2,1.1978994309902191,2.8896143324673176,2.753198627382517,1.3,0.8,0,0.8,51,3.1,5.7,28,0.2,5.5,1,0,0,0,1,164,218.6,25.3,84.0,32.8
2335,450,Pablo Fornals,Fornals,West Ham,19,3,9,735,2,2.1864453442394733,4,1.071741278283298,14,7,2,2.1864453442394733,5.424430988729,2.2215746380388737,4.3,4.8,0,4.8,65,5.3,2.4,48,0.7,7.4,4,1,0,0,5,137,138.2,100.1,172.0,41.1
3428,205,Hélder Costa,Costa,Leeds,10,3,8,622,2,0.40806394815444946,2,0.48946942016482353,8,6,2,0.40806394815444946,2.6070208624005318,1.9781903959810734,-0.3,0.2,0,0.2,55,4.1,6.4,33,0.0,6.0,2,0,0,0,2,94,145.0,110.1,153.0,40.6
4381,198,Mateusz Klich,Klich,Leeds,10,3,9,786,2,1.0802084375172853,3,1.1593152470886707,8,16,1,0.3190395999699831,4.893400169909,3.863963581621647,1.7,2.2,0,2.2,55,4.3,6.0,39,0.4,7.1,3,3,0,0,2,166,221.4,245.5,114.0,58.2
4456,91,Chris Wood,Wood,Burnley,4,4,8,713,2,3.1165140382945538,0,0.1704154573380947,16,3,2,3.1165140382945538,3.86109758913517,0.5741680897772312,2.5,1.5,0,3.0,62,3.2,1.0,26,0.5,4.2,3,0,0,0,2,55,93.4,47.6,246.0,38.1
4476,358,Callum Robinson,Callum Robinson,West Bromwich Albion,18,4,9,445,2,0.4568268582224846,1,0.2825646251440048,10,5,2,0.4568268582224846,1.2262493558228016,0.5694828070700169,0.5,0.5,0,1.0,55,2.9,0.6,26,0.2,4.7,1,0,0,0,3,86,86.0,75.4,124.0,28.0
5543,282,Gabriel Jesus,Jesus,Manchester City,12,4,3,270,2,1.3571264743804932,0,0.3475292809307575,9,3,2,1.3571264743804932,2.323427140712738,0.8204241991043091,4.3,4.3,0,2.8,93,5.7,1.4,17,0.3,1.8,0,1,0,0,4,56,82.6,43.8,127.0,25.4
6049,65,Solly March,March,Brighton,3,3,8,660,2,1.0765201561152935,1,0.782368766143918,7,10,2,1.0765201561152935,3.4066067077219486,1.7101752702146769,2.1,1.3,0,2.8,50,4.4,1.0,35,0.6,7.0,2,0,0,0,4,144,177.2,159.4,137.0,47.4
6055,284,Phil Foden,Foden,Manchester City,12,3,7,403,2,1.5610525757074356,1,0.195163793861866,11,3,2,1.5610525757074356,2.0900819711387157,0.38268864527344704,2.0,2.0,0,0.5,65,3.9,6.0,27,0.1,4.2,1,0,0,0,2,88,106.8,64.5,159.0,33.0
6144,441,Sébastien Haller,Haller,West Ham,19,4,8,303,2,1.4102889895439148,0,0.8095320351421833,10,5,2,1.4102889895439148,1.8950742930173874,0.14364795945584774,2.7,3.2,0,3.2,61,2.8,0.4,22,0.5,3.6,2,0,0,0,3,80,95.0,58.2,152.0,30.5
6382,474,Pedro Neto,Neto,Wolverhampton Wanderers,20,3,9,666,2,1.1467853151261806,2,1.5263155978173018,16,15,2,1.1467853151261806,3.3103678077459335,1.3074614778161049,2.8,3.3,0,3.8,55,4.2,2.1,38,0.7,6.9,4,0,0,0,1,133,190.4,243.9,216.0,65.2
6681,235,Harvey Barnes,Barnes,Leicester,9,3,9,673,2,2.936386540532112,1,0.1256322432309389,22,4,2,2.936386540532112,2.598724916577339,0.15940069407224655,3.3,3.8,0,2.8,69,4.0,4.2,36,0.4,5.2,2,0,0,0,4,91,143.8,69.5,332.0,54.4
7711,344,David McGoldrick,McGoldrick,Sheffield United,15,4,9,478,2,0.8576761838048697,0,0.44098777510225773,10,2,2,0.8576761838048697,1.6806988529860973,0.9478021636605263,1.7,2.7,0,2.2,53,2.7,0.7,24,0.4,4.5,2,0,0,0,2,80,72.0,43.9,85.0,20.0
7726,46,Ezri Konsa Ngoyo,Konsa,Aston Villa,2,2,8,720,2,0.8688459396362305,0,0.0,5,0,2,0.8688459396362305,0.5754300784319639,0.5754300784319639,3.5,3.5,0,3.5,47,5.4,8.9,43,0.7,9.1,4,0,0,0,4,168,182.4,2.6,96.0,28.1
87,340,Joelinton,Joelinton,Newcastle United,14,4,9,487,1,0.7379763815551996,1,0.7619395889341831,12,6,1,0.7379763815551996,2.037066362798214,0.5371504127979279,3.0,3.0,9,3.0,57,2.1,0.2,19,0.5,3.3,1,2,0,0,0,79,45.4,68.8,55.0,16.9
101,338,Allan Saint-Maximin,Saint-Maximin,Newcastle United,14,3,8,582,1,0.8426911998540163,1,1.2990111149847507,7,6,1,0.8426911998540163,2.9425679184496403,0.8862447999417782,0.5,0.5,0,1.8,53,3.5,5.7,28,0.3,5.3,3,0,0,0,2,86,120.6,99.5,79.0,30.0
447,272,Kevin De Bruyne,De Bruyne,Manchester City,12,3,7,562,1,2.8103908710181713,3,2.6411612406373024,25,23,0,1.2880531586706638,3.8672305047512054,1.4367830827832222,4.3,4.3,0,2.8,116,4.1,18.9,29,0.2,2.5,1,0,0,0,3,118,181.6,337.1,266.0,78.6
501,245,Danny Welbeck,Adrián,Brighton,11,1,3,180,0,0.8692126274108887,0,0.8056720197200775,6,4,1,0.8692126274108887,1.8116387724876404,0.1367541253566742,1.0,1.0,0,0.0,44,1.0,0.4,2,0.0,0.5,0,0,0,7,0,28,42.2,0.0,0.0,4.2
503,569,Theo Walcott,Cavani,"Everton,Southampton",13,4,5,82,1,1.1742691919207573,0,0.33150940388441086,10,6,1,1.1742691919207573,1.7065455242991447,0.2375781387090683,2.0,2.0,0,1.5,80,1.8,0.7,7,0.2,0.9,0,1,0,0,0,29,34.2,2.4,83.0,11.9
512,486,Scott Dann,Dann,Crystal Palace,6,2,6,540,1,0.453367218375206,0,0.01761283539235592,2,1,1,0.453367218375206,0.5027026943862438,0.48508985713124275,3.3,2.8,0,2.8,44,3.3,1.0,20,0.6,4.5,1,1,0,0,1,98,118.6,12.4,63.0,19.4
532,133,Cheikhou Kouyaté,Kouyaté,Crystal Palace,6,3,10,900,1,0.823928102850914,0,0.6860336400568485,7,4,1,0.823928102850914,1.6992983669042587,1.5633943006396294,2.5,2.0,2,2.0,50,2.8,0.6,28,0.4,5.6,1,0,0,0,2,137,180.8,33.0,87.0,30.2
535,7,Manuel Lanzini,Mustafi,West Ham,1,2,4,44,0,0.00966605357825756,0,0.03778643533587456,1,1,1,0.00966605357825756,0.11803606152534485,0.11803606152534485,0.2,0.7,0,0.2,50,1.0,0.0,2,0.0,0.4,0,0,0,0,0,13,11.6,1.0,0.0,1.3
579,279,Nathan Aké,Aké,Manchester City,12,2,4,289,1,0.40184661746025085,0,0.017229333519935608,1,1,1,0.40184661746025085,0.9447852000594139,0.9275558665394783,0.8,0.8,0,0.0,54,3.2,3.9,13,0.0,2.4,1,2,0,0,0,57,64.4,24.7,19.0,10.8
638,270,Kyle Walker,Walker,Manchester City,12,2,8,707,1,0.13952277880162,0,0.10050425678491592,6,3,1,0.13952277880162,3.583084836602211,3.406191200017929,5.7,5.7,0,4.2,61,3.8,9.7,30,0.7,4.9,2,1,0,0,4,132,140.8,72.8,57.0,26.9
669,89,Ashley Westwood,Westwood,Burnley,4,3,8,720,1,0.10419056378304958,0,1.1103647574782372,3,8,1,0.10419056378304958,2.710298791527748,2.1762008294463158,1.5,0.5,0,2.0,53,3.0,0.5,24,0.4,4.5,3,1,0,0,1,121,118.4,130.6,53.0,30.2
672,140,Jordan Ayew,Ayew,Crystal Palace,6,4,8,584,1,0.9550010748207569,1,0.08512866217643023,8,2,1,0.9550010748207569,1.4629624336957932,0.5526892235502601,3.7,3.2,2,3.2,57,3.0,1.9,24,0.6,4.2,2,0,0,0,2,62,71.0,22.6,130.0,22.4
